Variety,Subgroup,Family,ISO639,Glottolog_id,AIATSISCode,StdLangID,StdLanguageName,OriginalForm,PhonemicisedIPA,Std_Gloss,Author,OriginalGloss,OriginalPofSpeech,Latitude,Longitude,Reconstruction_Form,Reconstruction_Level,Reconstruction_Gloss,Reconstruction_Notes
Kija,,,gia,,K20,841,Kija,yakawarla-,jakawaɭa,bad,"Blythe, Joseph",bad,,-17.72282433,127.6836782,,,,
Kija,,,gia,,K20,841,Kija,yakengarram,jakeŋaram,other,"Blythe, Joseph",others,,-17.72282433,127.6836782,,,,
Kija,,,gia,,K20,841,Kija,yakurn,jakuɳ,lie,"Blythe, Joseph",tell lies (cov),,-17.72282433,127.6836782,,,,
Kija,,,gia,,K20,841,Kija,yampil,jampil,slow,"Blythe, Joseph",be slow (cov),,-17.72282433,127.6836782,,,,
Kija,,,gia,,K20,841,Kija,yampil-,jampil,slow,"Blythe, Joseph",slow,,-17.72282433,127.6836782,,,,
Kija,,,gia,,K20,841,Kija,yangela?,jaŋela,who,"Blythe, Joseph",who? (f),,-17.72282433,127.6836782,,,,
Kija,,,gia,,K20,841,Kija,yangirni?,jaŋiɳi,who,"Blythe, Joseph",who? (m),,-17.72282433,127.6836782,,,,
Kija,,,gia,,K20,841,Kija,yangurra?,jaŋura,who,"Blythe, Joseph",who? (pl),,-17.72282433,127.6836782,,,,
Kija,,,gia,,K20,841,Kija,yarren,jaren,1pl.incl,"Blythe, Joseph","we, us (not including you)",,-17.72282433,127.6836782,,,,
Kija,,,gia,,K20,841,Kija,yarrepen,jarepen,1pl.incl,"Blythe, Joseph","we, us (him/her and I but not you)",,-17.72282433,127.6836782,,,,
Kija,,,gia,,K20,841,Kija,yartem,jaʈem,ear,"Blythe, Joseph",ear,,-17.72282433,127.6836782,,,,
Kija,,,gia,,K20,841,Kija,yayipen,jajipen,1dl.incl,"Blythe, Joseph",you and I,,-17.72282433,127.6836782,,,,
Kija,,,gia,,K20,841,Kija,yijiyan,jicijan,TRUE,"Blythe, Joseph",TRUE,,-17.72282433,127.6836782,,,,
Kija,,,gia,,K20,841,Kija,yilikin,jilikin,inside,"Blythe, Joseph",inside,,-17.72282433,127.6836782,,,,
Kija,,,gia,,K20,841,Kija,yilkuwurri,jilkuwuri,bad,"Blythe, Joseph","become bad, get angry, get sick (cov)",,-17.72282433,127.6836782,,,,
Kija,,,gia,,K20,841,Kija,yilkuwurru wanama,jilkuwuru wanama,3sg,"Blythe, Joseph","he/she got sick, he/she became angry, he/she became bad",,-17.72282433,127.6836782,,,,
Kija,,,gia,,K20,841,Kija,yilkuwurruk wanama,jilkuwuruk wanama,3sg,"Blythe, Joseph",he/she became sick/angry/bad,,-17.72282433,127.6836782,,,,
Kija,,,gia,,K20,841,Kija,yinginype,jiŋiɲpe,name,"Blythe, Joseph",name,,-17.72282433,127.6836782,,,,
Kija,,,gia,,K20,841,Kija,yintiyi(nha),jintiji(n̪a),give,"Blythe, Joseph",(you - 1) give me!,,-17.72282433,127.6836782,,,,
Kija,,,gia,,K20,841,Kija,yuwurrun,juwurun,1pl.incl,"Blythe, Joseph","we, us (including you)",,-17.72282433,127.6836782,,,,
Malkana,Kartu,Pama-Nyungan,vml,malg1242,W18,733,Malkana,dhalaaba,t̪alaːpa,ashes,,ashes,,-26.22172997,113.7508572,,,,
Malkana,Kartu,Pama-Nyungan,vml,malg1242,W18,733,Malkana,bundu,puntu,back,,back,,-26.22172997,113.7508572,,,,
Malkana,Kartu,Pama-Nyungan,vml,malg1242,W18,733,Malkana,buga,puka,bad,,bad,,-26.22172997,113.7508572,,,,
Malkana,Kartu,Pama-Nyungan,vml,malg1242,W18,733,Malkana,nganja,ŋanca,beard,,beard,,-26.22172997,113.7508572,,,,
Malkana,Kartu,Pama-Nyungan,vml,malg1242,W18,733,Malkana,wilygu,wiʎku,belly,,belly,,-26.22172997,113.7508572,,,,
Malkana,Kartu,Pama-Nyungan,vml,malg1242,W18,733,Malkana,warabadi,waɹapati,big,,big,,-26.22172997,113.7508572,,,,
Malkana,Kartu,Pama-Nyungan,vml,malg1242,W18,733,Malkana,bajani (?),pacani ,bite,,bite,,-26.22172997,113.7508572,,,,
Malkana,Kartu,Pama-Nyungan,vml,malg1242,W18,733,Malkana,madhara,mat̪aɹa,black,,black,,-26.22172997,113.7508572,,,,
Malkana,Kartu,Pama-Nyungan,vml,malg1242,W18,733,Malkana,murinyina,muɹiɲina,blow,,blow (wind),,-26.22172997,113.7508572,,,,
Malkana,Kartu,Pama-Nyungan,vml,malg1242,W18,733,Malkana,mambu,mampu,bone,,bone,,-26.22172997,113.7508572,,,,
Malkana,Kartu,Pama-Nyungan,vml,malg1242,W18,733,Malkana,barrgudu,parkutu,vegetable food,,bread,,-26.22172997,113.7508572,,,,
Malkana,Kartu,Pama-Nyungan,vml,malg1242,W18,733,Malkana,bibi,pipi,breast,,breast,,-26.22172997,113.7508572,,,,
Malkana,Kartu,Pama-Nyungan,vml,malg1242,W18,733,Malkana,gambinyina (pres.cont),kampiɲina,be burning,,burn (v),,-26.22172997,113.7508572,,,,
Malkana,Kartu,Pama-Nyungan,vml,malg1242,W18,733,Malkana,yamba,jampa,child,,child,,-26.22172997,113.7508572,,,,
Malkana,Kartu,Pama-Nyungan,vml,malg1242,W18,733,Malkana,wandinyina (pres. cont),wantiɲina,climb,,climb (v),,-26.22172997,113.7508572,,,,
Malkana,Kartu,Pama-Nyungan,vml,malg1242,W18,733,Malkana,ngadhinyina (pres. cont),ŋat̪iɲina,"cry, weep",,cry (v),,-26.22172997,113.7508572,,,,
Malkana,Kartu,Pama-Nyungan,vml,malg1242,W18,733,Malkana,garabuda(nu),kaɹaputa(nu),cut,,cut it,,-26.22172997,113.7508572,,,,
