"Variety","Subgroup","Family","ISO Code","Glottolog ID","AIATSIS Code","StdLangID","StdLanguageName","OriginalForm","PhonemicisedIPA","Std_Gloss","Author","OriginalGloss","OriginalPofSpeech","Latitude","Longitude","Reconstruction_Form","Reconstruction_Level","Reconstruction_Gloss","Reconstruction_Notes"
"Gamilaraay","Central NSW",,,,,"1023",,"girran","kiran",,"Ash, A. and Lissarrague, A. and Giacon, J","ashes","N",,,"*kirran","Central-NSW","ashes",""
"Gamilaraay","Central NSW",,,,,"1023",,"-bidi","-piti",,"Ash, A. and Lissarrague, A. and Giacon, J","big","Adj",,,"*-piti","","big",""
"Gamilaraay","Central NSW",,,,,"1023",,"yii-li","jiːli",,"Ash, A. and Lissarrague, A. and Giacon, J","bite","V",,,"*yii-li","Central-NSW","bite",""
"Gamilaraay","Central NSW",,,,,"1023",,"buluuy","puluːj",,"Ash, A. and Lissarrague, A. and Giacon, J","black","Adj",,,"*bulu:y","Central-NSW","black",""
"Gamilaraay","Central NSW",,,,,"1023",,"galiya-y","kalijaj",,"Ash, A. and Lissarrague, A. and Giacon, J","climb","V",,,"*kaliya-y","","climb",""
"Gamilaraay","Central NSW",,,,,"1023",,"yu-gi","juki",,"Ash, A. and Lissarrague, A. and Giacon, J","cry","Vi",,,"*yu-ki","","cry",""
"Gamilaraay","Central NSW",,,,,"1023",,"garra-li","karali",,"Ash, A. and Lissarrague, A. and Giacon, J","cut","Vt",,,"*karra-li","","cut",""
"Gamilaraay","Central NSW",,,,,"1023",,"buruma, mirri","puɹuma",,"Ash, A. and Lissarrague, A. and Giacon, J","dog","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"ngadaa","ŋataː",,"Ash, A. and Lissarrague, A. and Giacon, J","down, below","Adv",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"ngarribaa","ŋaripaː",,"Ash, A. and Lissarrague, A. and Giacon, J","east","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"dha-li","t̪ali",,"Ash, A. and Lissarrague, A. and Giacon, J","eat","Vt",,,"*ca","","eat",""
