Record_ID,Variety_ID,Variety,StdLanguageName,StdLangID,Subgroup,Family,OriginalForm,OriginalGloss,OriginalPofSpeech,StdPoS,Std_Gloss,StdGloss_ID,WordNetForm,SemanticField,GeneralNote,PhonemicisedIPA,PhonemicisedForm,REC@LoanCode,REC@LoanSource,RecCounter,SourceNote,SourcePages,SourcePriority,AIATSISCode,Ascii_Name,Glottolog_id,ISO639,Latitude,Longitude,Shortcode,Author,Year,Reconstruction_Form,Reconstruction_ID,Reconstruction_Level,Reconstruction_Gloss,Reconstruction_Notes
1,1105,69,Gamilaraay,1023,Central NSW,Pama-Nyungan,girran,ashes,N,N,ashes,579,ash.n.01,FIRE,,kirran,kiran,,,1105,,,1,D23,Gamilaraay,gami1243,kld,-29.91686548,149.6172319,ash03,"Ash, A. and Lissarrague, A. and Giacon, J",2003,*paka,1105,,dig,
2,1107,69,Gamilaraay,1023,Central NSW,Pama-Nyungan,yii-li,bite,V,V,bite,1726,bite.v.01,BODY,,yi:li,yiËêli,,,1107,,,1,D23,Gamilaraay,gami1243,kld,-29.91686548,149.6172319,ash03,"Ash, A. and Lissarrague, A. and Giacon, J",2003,*pac(y)a,1107,,bite,
3,1108,69,Gamilaraay,1023,Central NSW,Pama-Nyungan,buluuy,black,Adj,Adj,black,1319,black.a.01,COLOUR,,pulu:y,puluËêy,,,1108,,,1,D23,Gamilaraay,gami1243,kld,-29.91686548,149.6172319,ash03,"Ash, A. and Lissarrague, A. and Giacon, J",2003,*puÃ±ca,1108,,lick,
4,1110,69,Gamilaraay,1023,Central NSW,Pama-Nyungan,galiya-y,climb,V,V,climb,2282,climb.v.01,MOTION,,kaliyay,kaliyay,,,1110,,,1,D23,Gamilaraay,gami1243,kld,-29.91686548,149.6172319,ash03,"Ash, A. and Lissarrague, A. and Giacon, J",2003,*pilha,1110,,lick,
5,1112,69,Gamilaraay,1023,Central NSW,Pama-Nyungan,garra-li,cut,Vt,Vt,cut,1804,cut.v.01,IMPACT,,karrali,karali,,,1112,,,1,D23,Gamilaraay,gami1243,kld,-29.91686548,149.6172319,ash03,"Ash, A. and Lissarrague, A. and Giacon, J",2003,*karri3,1112,,stand,
6,1113,69,Gamilaraay,1023,Central NSW,Pama-Nyungan,"buruma, mirri",dog,N,N,dog,2207,dog.n.01,MAMMAL,,puruma,puÉ_uma,,,1113,,,1,D23,Gamilaraay,gami1243,kld,-29.91686548,149.6172319,ash03,"Ash, A. and Lissarrague, A. and Giacon, J",2003,*purlka,1113,,big,
7,1115,69,Gamilaraay,1023,Central NSW,Pama-Nyungan,ngarribaa,east,N,N,east,1956,east.n.01,COMPASS,,Å‹arripa:,Å‹aripaËê,,,1115,,,1,D23,Gamilaraay,gami1243,kld,-29.91686548,149.6172319,ash03,"Ash, A. and Lissarrague, A. and Giacon, J",2003,*palka,1115,,hit,
8,1116,69,Gamilaraay,1023,Central NSW,Pama-Nyungan,dha-li,eat,Vt,Vt,eat,2205,eat.v.01,BODY,,thali,tÌªali,,,1116,,,1,D23,Gamilaraay,gami1243,kld,-29.91686548,149.6172319,ash03,"Ash, A. and Lissarrague, A. and Giacon, J",2003,*cungka,1116,,"rotten, bad-smelling",
9,1117,69,Gamilaraay,1023,Central NSW,Pama-Nyungan,gawu,egg,N,N,egg,813,egg.n.02,BIRD,,kawu,kawu,,,1117,,,1,D23,Gamilaraay,gami1243,kld,-29.91686548,149.6172319,ash03,"Ash, A. and Lissarrague, A. and Giacon, J",2003,*ku:ca,1117,,rotten,
10,1118,69,Gamilaraay,1023,Central NSW,Pama-Nyungan,bundaa-gi,fall,Vi,Vi,fall,1490,fall.v.01,MOTION,,punta:ki,puntaËêki,,,1118,,,1,D23,Gamilaraay,gami1243,kld,-29.91686548,149.6172319,ash03,"Ash, A. and Lissarrague, A. and Giacon, J",2003,*puli-,1118,Karnic?,fall,CB: Kalkatungu related??l > r in Diyari replicated? points to rl?
